,repository_name,language
0,alugames,CSS
1,alura-books-projeto,HTML
2,aluraMidi,CSS
3,aluraPlay,CSS
4,amigo-secreto,CSS
5,Annotation,Java
6,api-med,Java
7,calculadora,TypeScript
8,cardapio,Java
9,cardapio-react,TypeScript
10,carrinho-compras,CSS
11,CartaoCredito,Java
12,ChatBotAI,Java
13,Clone-da-tela-inicial-Netflix,HTML
14,Clone-page-Instagram,CSS
15,consumindo-dados-api,HTML
16,ContaBancaria,Java
17,controle-milhas,
18,Conversor-de-Moedas,TypeScript
19,curso_1_openai,Python
20,Dashboard,TypeScript
21,demo,
22,devlinks,
23,e-commerce,TypeScript
24,ebac,Java
25,ebac-abrigo,Java
26,EBAC-AbstracMod13,Java
27,ebac-back,Java
28,EBAC-Java,Java
29,ebac-list,Java
30,ebac-memelandia,Java
31,ebac-recu,Java
32,ebac-testes,Java
33,email,Java
34,Encurtador-de-url,TypeScript
35,Estacionamento,JavaScript
36,Finance-Control,JavaScript
37,Fokus-projeto-base,CSS
38,genius,JavaScript
39,Gerador,
40,gerenciado-de-tarefas,TypeScript
41,HelloWorld,Java
42,Imperat0,
43,Imperato-Movies,Java
44,imperatoBank,HTML
45,ImperatoPortfolio,TypeScript
46,ingresso,CSS
47,jogo-da-velha,TypeScript
48,life-cycle-projeto-inicial,TypeScript
49,linguagens-repositorios-empresas,
50,linguagens-utilizadas,
51,list-books,
52,ListaCompras,JavaScript
53,logica-js,HTML
54,mochila-de-viagem,CSS
55,Numero-Secreto,HTML
56,organo-AngularV19,TypeScript
57,pass-in,Java
58,pokedex,JavaScript
59,ProjectEbac,Java
60,projeto-openai-2,Python
61,projeto-pessoal,CSS
62,react-conversor,JavaScript
63,react-netflix,JavaScript
64,Reflection2,Java
65,Robotron-2000,HTML
66,sabor,Python
67,sabor-OO,Python
68,social-login,HTML
69,sorteador-numeros,CSS
70,springboot,Java
71,Stream,Java
72,tarefas,TypeScript
73,testEbac,Java
74,todo-list,HTML
75,vidFlow,CSS
